Cálculo 1 2023-2,,,,,,,08 de dez.,15 de dez.,26 de dez.,26 de jan.,03 de fev.,07 de fev.,16 de fev.,23 de fev.,24 de fev.,02 de mar.,08 de mar.,15 de mar.,22 de mar.,,,
,,assuntos vamos revisar. ,nota extra prova 1,nota extra prova 2,ponto extra-prova 4,teste de verificação,lista 1,lista 2,prova 1,lista 3,lista 4,prova 2,lista 5,lista 6,nota extra-prova 3,prova 3,lista 7,lista 8,prova 4,,,
,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
,,,,,,,,,,,,,,,,,,,,,,
Média da turma,"44,64%",,"4,25","5,0","5,0",,"76,75","70,2","33,52","73,63","82,62","39,67","86,81","75,65","5,0","36,79","85,14","86,39","37,18",medio lista,medio prova,ab2
1,"64,6%",,,5,5,,95,58,53,81,100,55,100,100,5,50,100,100,62,100,56,"74,8"
2,"57,36%",,5,5,5,,100,80,33,82,98,40,100,100,,25,100,,30,75,"27,5",42
3,"35,5%",,,,,,10,75,16,24,67,30,,37,,,,,25,"9,25","12,5","11,85"
4,"66,33%",,,5,5,,100,80,48,80,80,75,100,100,5,57,100,100,60,100,"58,5","76,8"
5,"26,5%",,,,,,60,,10,32,,0,55,,,2,,,,"13,75",1,"3,55"
6,"59,11%",,"2,5",5,,,88,81,57,35,68,97,100,80,,37,95,60,22,"83,75","29,5","40,35"
7,"48,46%",,5,,,,45,,20,82,69,60,95,60,5,50,75,40,24,"67,5",37,"48,1"
8,"0,0%",,,,,,,,0,,,0,,,,0,,,,0,0,0
9,"71,25%",,5,5,5,,98,80,82,90,100,98,100,100,5,77,100,100,95,100,86,"98,8"
10,"57,4%",,,,,,100,,27,86,64,10,,,,,,,,0,0,0
11,,,,,,,,,,,,,,,,,,,,0,0,0
12,,,,,,,,,,,,,,,,,,,,0,0,0
13,,,,,,,,,,,,,,,,,,,,0,0,0
14,,,,,,,,,,,,,,,,,,,,0,0,0
15,"52,9%",,,,,,100,70,41,79,78,22,90,44,,5,,,0,"33,5","2,5","8,7"
16,"46,57%",,,5,,,,77,0,80,,0,80,,,,84,,,41,0,"8,2"
17,"72,67%",,,,,,90,78,50,,,,,,,,,,,0,0,0
18,"75,09%",,,,,,,75,17,65,93,95,90,31,,65,100,100,95,"80,25",80,"80,05"
19,"39,29%",,,,,,80,78,60,,,0,45,,,10,,,2,"11,25",6,"7,05"
20,"67,2%",,,,,,45,80,47,82,93,43,100,,,70,84,,28,46,49,"48,4"
21,"67,0%",,,,,,40,75,39,62,89,42,100,98,,22,100,90,47,97,"34,5",47
22,"5,0%",,,,,,,,10,,,0,,,,,,,,0,0,0
23,"47,64%",,,5,5,,75,70,23,93,62,28,80,35,5,65,59,,62,"43,5","63,5","69,5"
24,"67,33%",,,,,,95,80,35,86,95,19,100,98,,5,85,100,10,"95,75","7,5","25,15"
25,"41,22%",,,,,,55,0,23,67,73,25,50,63,,15,,,,"28,25","7,5","11,65"
26,"15,0%",,,,,,0,,20,,,0,70,,,0,,,0,"17,5",0,"3,5"
27,"31,0%",,,,,,,78,0,77,,0,,,,0,,,,0,0,0
28,"74,62%",,,,5,,95,84,47,93,95,80,100,100,,40,83,100,48,"95,75",44,"59,35"
29,"62,07%",,,5,5,,90,87,30,84,95,90,98,100,5,42,,85,53,"70,75","47,5","62,15"
30,"35,0%",,,,,,70,,0,,,,,,,,,,,0,0,0
31,"75,15%",,,,,,98,74,30,96,100,50,95,99,5,70,100,100,60,"98,5",65,"76,7"
32,"10,0%",,,,,,,,,,,0,40,,,0,,,0,10,0,2
33,"48,5%",,"2,5",,,,80,65,47,50,70,19,60,56,,55,24,55,47,"48,75",51,"50,55"
34,"49,83%",,,,,,90,,52,,,55,,45,,27,,,30,"11,25","28,5","25,05"
35,,,,,,,,,,,,,,,,,,,,0,0,0
36,"2,5%",,,,,,,,5,,,0,,,,,,,,0,0,0
37,,,,,,,,,,,,,,,,,,,,0,0,0
38,"60,93%",,5,5,,,100,87,37,44,100,80,95,70,,47,83,80,20,82,"33,5","43,2"
39,,,,,,,,,,,,,,,,,,,,0,0,0
40,"70,4%",,5,5,,,100,73,72,97,100,75,100,98,5,76,100,100,50,"99,5",63,"75,3"
41,"29,25%",,,,,,,,20,,,37,,,,30,,,30,0,30,24
42,"5,0%",,,,,,,,10,,,0,,,,,,,,0,0,0
43,"37,5%",,,,,,,,43,77,40,5,,,,60,,,0,0,30,24
44,"52,5%",,5,,,,,77,43,100,,0,90,,,,,,,"22,5",0,"4,5"
45,"27,17%",,,5,,,,,43,,64,51,,,,0,,,0,0,0,0
46,"0,0%",,,,,,,,0,,,,,,,,,,,0,0,0
47,"7,0%",,,,,,,,7,,,,,,,,,,,0,0,0
48,"53,4%",,,,,,,,47,,,53,100,57,,10,,,,"39,25",5,"11,85"
49,,,,,,,,,,,,,,,,,,,,0,0,0
50,"62,82%",,,,,,90,,50,47,83,77,95,41,,55,53,50,50,"59,75","52,5","53,95"
51,"71,0%",,,5,5,,80,77,72,78,100,100,100,98,5,87,100,95,63,"98,25",75,"89,65"
52,"37,63%",,,5,,,,,30,66,47,30,,73,,38,,,12,"18,25",25,"23,65"
53,"75,08%",,5,,,,85,89,43,100,95,67,85,89,,74,94,100,50,92,62,68
54,"20,75%",,,,,,,63,20,,,0,,,,0,,,,0,0,0
55,"41,5%",,"2,5",,,,25,20,48,,,52,83,,,37,54,,52,"34,25","44,5","42,45"
56,"61,22%",,,5,,,87,64,72,52,91,90,,,,45,,,45,0,45,36
57,"66,31%",,,5,,,90,31,30,89,87,35,95,95,,50,100,100,55,"97,5","52,5","61,5"
58,,,,,,,,,,,,,,,,,,,,,,