Cálculo 2-2022-2,,,,,,31 de jan.,06 de fev.,10 de fev.,17 de fev.,03 de mar.,24 de mar.,31 de mar.,21 de abr.,29 de abr.,05 de mai.,18 de mai.,23 de mai.,,,
,,prova 1,prova 2,prova 3,prova 4,sobre compensar as aulas,Revisão Cálculo 1,lista 2,lista 3,lista 4,lista 5,lista 6,lista 7,lista 8,lista 9,lista 10,lista 11,,,
,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Média da turma,,"54,13","63,9","39,48","63,18",,"86,35","83,3","87,85","84,4",,,"77,65","83,52","90,71","97,47","90,63",lista,prova,ab2
1,"70,83%",58,55,10,44,,95,100,64,84,,,80,73,97,,90,68,27,"35,2"
2,"81,62%",47,40,47,66,,82,100,90,93,,,98,98,100,100,100,"99,2","56,5","65,04"
3,"82,08%",65,60,73,80,,94,70,88,81,,,96,78,85,97,100,"91,2","76,5","79,44"
4,"35,33%",30,55,8,,,,25,,52,,,42,,,,,"8,4",4,"4,88"
5,"49,27%",53,68,48,20,,,25,97,35,,,42,44,40,,70,"39,2",34,"35,04"
6,"78,0%",75,60,30,58,,97,100,73,84,,,84,88,95,100,70,"87,4",44,"52,68"
7,"54,64%",10,45,5,35,,88,70,98,62,,,30,98,60,,,"37,6",20,"23,52"
8,"0,0%",,,,0,,,,,,,,,,,,,0,0,0
9,"61,8%",42,60,17,,,90,100,,,,,,,,,,0,"8,5","6,8"
10,"51,5%",15,42,,,,69,80,,,,,,,,,,0,0,0
11,"70,58%",20,47,33,58,,80,95,72,68,,,98,86,90,,100,"74,8","45,5","51,36"
12,,,,,,,,,,,,,,,,,,0,0,0
13,"78,54%",51,95,52,90,,93,70,65,62,,,87,71,95,100,90,"88,6",71,"74,52"
14,"83,62%",47,75,62,78,,77,95,94,94,,,90,80,95,100,100,93,70,"74,6"
15,"77,17%",25,70,,,,70,100,98,100,,,,,,,,0,0,0
16,"71,08%",60,78,39,35,,44,70,74,88,,,87,81,78,100,90,"87,2",37,"47,04"
17,"97,5%",90,95,,,,100,100,100,100,,,98,97,,,,39,0,"7,8"
18,,,,,,,,,,,,,,,,,,0,0,0
19,"76,18%",25,50,41,68,,100,95,100,100,,,59,,,100,100,"51,8","54,5","53,96"
20,,,,,,,,,,,,,,,,,,0,0,0
21,"72,33%",38,,,,,,,81,98,,,,,,,,0,0,0
22,"89,83%",100,60,37,95,,100,100,97,96,,,,93,100,100,100,"78,6",66,"68,52"
23,"88,0%",,,,,,94,82,,,,,,,,,,0,0,0
24,"87,5%",100,60,63,78,,100,95,98,93,,,97,94,100,,72,"72,6","70,5","70,92"
25,"84,08%",62,80,53,86,,88,55,98,91,,,88,97,100,95,100,96,"69,5","74,8"
26,"83,67%",60,80,58,82,,88,,57,92,,,94,98,100,95,100,"97,4",70,"75,48"
27,"76,67%",100,45,25,,,96,97,97,,,,,,,,,0,"12,5",10
28,"71,33%",47,70,18,,,87,95,,99,,,50,86,90,,,"45,2",9,"16,24"
29,"72,15%",62,70,20,71,,54,75,77,93,,,95,76,100,95,50,"83,2","45,5","53,04"
30,"74,54%",50,70,51,59,,92,90,84,70,,,53,70,100,80,100,"80,6",55,"60,12"
31,"81,33%",70,60,66,76,,,70,95,85,,,92,82,80,100,100,"90,8",71,"74,96"
32,"69,0%",45,60,47,40,,70,95,,,,,,95,100,,,39,"43,5","42,6"
33,"39,67%",53,,20,,,,,,,,,,46,,,,"9,2",10,"9,84"
34,,,,,,,,,,,,,,,,,,0,0,0
35,"53,17%",42,27,17,,,,85,98,,,,50,,,,,10,"8,5","8,8"
36,"87,08%",90,80,61,81,,97,80,89,90,,,84,90,100,100,90,"92,8",71,"75,36"
37,"61,25%",0,60,,,,,85,100,,,,,,,,,0,0,0
38,"95,92%",100,100,65,90,,100,100,100,100,,,92,100,100,100,100,"98,4","77,5","81,68"