Cálculo 2-2024-1,,01 de ago.,08 de ago.,15 de ago.,03 de set.,04 de set.,05 de set.,10 de set.,12 de set.,14 de set.,26 de set.,03 de out.,10 de out.,23 de out.,23 de out.,29 de out.,31 de out.,02 de nov.,12 de nov.,
,,lista 1,lista 2,lista 3,Lista 4,nota extra prova 1,prova 1,lista 5,nota extra prova 2,prova 2,lista 6,lista 7,lista 8,nota extra prova 3,prova 3,lista 9,lista 10,nota extra prova 4,prova 4,
,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Média da turma,,"82,4","81,92","83,75","78,57","4,46","46,54","85,05","6,3","48,91","72,76","77,25","87,61","5,0","45,47","81,95","91,48","4,57","52,6",ab2
1,"73,12%",90,98,100,100,5,61,98,4,70,90,100,90,5,70,95,95,,72,"80,6"
2,"55,18%",70,60,100,,,25,,,35,90,50,,,5,60,90,,22,"22,4"
3,,,,,,,,,,,,,,,,,,,,0
4,"40,43%",80,70,20,60,,3,50,,0,,,,,,,,,,0
5,,,,,,,,,,,,,,,,,,,,0
6,"73,31%",90,95,90,40,,58,,,77,,100,90,5,75,60,80,,93,"85,4"
7,"69,22%",90,95,90,100,5,82,100,5,75,80,100,100,5,37,95,100,5,82,"76,6"
8,"74,0%",95,100,95,95,5,95,100,10,70,90,100,90,5,97,95,95,5,90,"103,6"
9,,,,,,,,,,,,,,,,,,,,0
10,"85,36%",90,95,90,90,,87,100,,69,80,90,70,,72,90,98,,74,"75,52"
11,"42,5%",90,0,80,,,0,,,,,,,,,,,,,0
12,"74,0%",90,90,100,100,5,95,100,5,58,90,70,80,,44,95,95,,67,"61,6"
13,,,,,,,,,,,,,,,,,,,,0
14,"65,89%",80,95,90,,,70,80,,40,70,,,,35,,,,33,30
15,"61,27%",80,90,90,60,5,49,90,,53,70,,90,5,27,60,95,,55,"50,4"
16,"72,35%",100,95,100,100,5,42,100,,70,98,80,90,5,60,95,100,5,85,"86,52"
17,"63,28%",90,90,70,80,5,73,70,10,60,80,100,90,5,52,90,95,2,77,"76,8"
18,"49,64%",85,90,100,,"2,5",,70,,0,,,,,0,,,,,0
19,"63,8%",70,70,60,70,,70,,5,55,80,80,100,,62,70,80,5,80,"78,2"
20,"25,5%",,,,,,41,,,,,,,,10,,,,,4
21,"57,0%",70,60,70,60,,42,70,,40,70,60,80,,37,,,,25,"33,2"
22,"73,86%",85,95,60,70,,42,70,,55,95,60,100,,57,90,95,,60,"64,4"
23,,,,,,,,,,,,,,,,,,,,0
24,"64,5%",,85,70,60,,65,100,,55,,50,,,65,60,,,35,"44,4"
25,"63,44%",90,80,90,80,5,72,,,60,30,64,,,,,,,,"3,76"
26,"64,0%",85,90,,100,,26,,10,70,100,70,100,5,55,95,98,5,51,"70,92"
27,"64,06%",70,80,100,95,,65,90,5,60,30,60,85,,55,70,90,5,65,"66,4"
28,,,,,,,,,,,,,,,,,,,,0
29,"36,67%",50,60,,,,0,,,,,,,,,,,,,0
30,"37,94%",90,100,80,,"2,5",4,,,25,40,,,,0,,,,0,"1,6"
31,,,,,,,,,,,,,,,,,,,,0
32,"83,6%",90,98,100,100,5,73,98,,73,90,100,90,,77,98,95,,67,"76,52"
33,,,,,,,,,,,,,,,,,,,,0
34,"61,43%",70,90,100,50,"2,5",39,60,,50,,60,90,5,65,80,80,,80,"75,4"
35,"54,75%",70,80,50,70,,26,,,52,,,,,40,,,,50,36
36,"64,0%",80,70,85,70,,49,60,,20,90,,100,5,50,70,90,,57,"61,8"
37,,,,,,,,,,,,,,,,,,,,0
38,"82,31%",100,95,90,95,,51,,,60,56,100,100,,79,80,90,,74,"78,24"
39,"60,0%",,,,,,,,,,,60,,,,,,,,"2,4"
40,"51,17%",100,98,90,40,,85,,4,72,30,30,40,,20,,,,5,14
41,"41,25%",95,60,,,,10,,,0,,,,,,,,,,0
42,"79,5%",64,95,,,,,,,,,,,,,,,,,0
43,"66,43%",85,50,90,80,,47,100,,40,40,70,90,,40,90,70,,38,"45,6"
44,"72,18%",90,100,80,95,5,82,70,5,80,90,100,90,5,70,95,95,,75,"81,8"
45,"15,0%",,,,,,40,,,,,,,,5,,,,0,2
46,"11,0%",,,,,,11,,,,,,,,,,,,,0
47,"64,2%",80,95,90,100,,27,100,,30,,,70,,32,,,,18,"22,8"
48,"28,44%",40,40,60,50,,6,,,0,50,,,,10,,,,0,6
49,"71,27%",90,95,100,90,5,9,95,,40,90,100,90,,52,70,95,,48,"57,8"